mp3tagArtist;mp3tagGenre;mainArtist;mainId;downloaded
Bloody Hammers;Hard Rock;Bloody Hammers;560676512;2026-02-06 09:12:30
Bloodywood;Nu Metal;Bloodywood;1186009219;2026-02-06 09:12:34
Blotted Science;Progressive Metal;Blotted Science;265124966;2026-02-06 09:12:38
Bodom After Midnight;Melodic Death Metal;Bodom After Midnight;1551370723;2026-02-06 09:12:42
Body Count;Rap Metal;Body Count;645352;2026-02-06 09:12:47
Bon Jovi;Hard Rock;Bon Jovi;122782;2026-02-06 09:12:52
Borknagar;Progressive Metal;Borknagar;28430680;2026-02-06 09:12:57
Born of Osiris;Deathcore;Born of Osiris;265002070;2026-02-06 09:13:02
Brad Derrick;Score;;0;
Brad Paisley;Country;Brad Paisley;203739;2026-02-06 09:13:07
Brand of Sacrifice;Deathcore;Brand of Sacrifice;1348756444;2026-02-06 09:13:11
Breaking Benjamin;Alternative;Breaking Benjamin;3299379;2026-02-06 09:13:16
Brides of Lucifer;Metal;Brides of Lucifer;1387815306;2026-02-06 09:13:20
Bring Me the Horizon;Alternative;Bring Me the Horizon;121043936;2026-02-06 09:13:25
Britney Spears;Pop;Britney Spears;217005;2026-02-06 09:13:30
Brothers of Metal;Power Metal;Brothers of Metal;1145316099;2026-02-06 09:13:35
Brujeria;Death Metal;Brujeria;4163922;2026-02-06 09:13:39
Bruno Mars;R&B;Bruno Mars;278873078;2026-02-06 09:13:45
Bullet for My Valentine;Metalcore;Bullet for My Valentine;50077521;2026-02-06 09:13:49
Burning Skies;Deathcore;Burning Skies;159398723;2026-02-06 09:13:54
Burzum;Black Metal;Burzum;265766061;2026-02-06 09:13:58
Bush;Alternative;Bush;154751;2026-02-06 09:14:03
Butcher Babies;Metalcore;Butcher Babies;520447521;2026-02-06 09:14:07
Cain's Offering;Power Metal;Cain's Offering;326084432;2026-02-06 09:14:11
Caliban;Metalcore;Caliban;107402910;2026-02-06 09:14:15
Callejon;Metalcore;Callejon;28174275;2026-02-06 09:14:20
Cannibal Corpse;Death Metal;Cannibal Corpse;28692971;2026-02-06 09:14:24
Carach Angren;Symphonic Black Metal;Carach Angren;279550516;2026-02-06 09:14:29
Carcass;Death Metal;Carcass;42159435;2026-02-06 09:14:33
Carnifex;Deathcore;Carnifex;159752070;2026-02-06 09:14:37
Casandra's Crossing;Hard Rock;Casandra's Crossing;1757933184;2026-02-06 09:14:41
Cat Stevens;Rock;;0;
